key,title,first_publish_year
/works/OL3235322W,The Gold's Gym book of strength training for athletes,1979.0
/works/OL1980802W,Aerobics,1968.0
/works/OL3347686W,Six practical lessons for an easier childbirth,1967.0
/works/OL8832647W,The Fitness Instructor's Handbook,2007.0
/works/OL9288847W,Sport and exercise science,2005.0
/works/OL11568346W,Measurement and evaluation in physical activity applications,2008.0
/works/OL276802W,Mariel Hemingway's Healthy Living from the Inside Out,2006.0
/works/OL2680380W,Teaching physical education for learning,1985.0
/works/OL21251455W,Qualitative Research Methods in Sport Exercise and Health,2013.0
/works/OL7801266W,The challenge of change in physical education,1999.0
/works/OL17575929W,Reflective Practice in the Sport and Exercise Sciences,2014.0
/works/OL5834729W,Practical applications in sports nutrition,2006.0
/works/OL893221W,Arnold,1977.0
/works/OL18420279W,Handbook of sport psychology,2007.0
/works/OL6660324W,Physiology of exercise,1948.0
/works/OL5850538W,The Testosterone Advantage Plan,2002.0
/works/OL5902425W,Perspectives in Exercise Science and Sports Medicine,1988.0
/works/OL21074528W,Move Your Body!,2014.0
/works/OL2751565W,Physical fitness,1976.0
/works/OL2983904W,Physical fitness,1970.0
/works/OL2946486W,Callanetics,1984.0
/works/OL21031991W,"Research Process in Sport, Exercise and Health",2013.0
/works/OL21270937W,Group Dynamics in Exercise and Sport Psychology,2007.0
/works/OL3371760W,Joy's life diet,2008.0
/works/OL1914619W,Strength fitness,1982.0
/works/OL2674186W,Stretching,1975.0
/works/OL9367462W,Move yourself,2007.0
/works/OL1870562W,Dynamics of fitness,1987.0
/works/OL16152180W,Applied exercise & sport physiology with labs,2012.0
/works/OL5967464W,The complete idiot's guide to weight training,2000.0
/works/OL501156W,Flabby Cat and Slobby Dog,2009.0
/works/OL5265342W,The book of stress survival,1986.0
/works/OL3343013W,The dancers' body book,1984.0
/works/OL8098817W,"Developing Personal, Social and Moral Education through Physical Education",2001.0
/works/OL15507779W,Children and exercise XXV,2010.0
/works/OL2356675W,"Faster, better, stronger",2008.0
/works/OL20250043W,Fatigue in Sport and Exercise,2015.0
/works/OL4785567W,"Physique, fitness, and performance",2000.0
/works/OL16151622W,Lifelong engagement in sport and physical activity,2011.0
/works/OL16681668W,Complexity thinking in physical education,2013.0
/works/OL6660323W,Total fitness in 30 minutes a week,1975.0
/works/OL5714208W,Food For Fuel,2004.0
/works/OL5760328W,Pilates for Dummies,2003.0
/works/OL17447725W,Young People Physical Activity And The Everyday,2010.0
/works/OL17496637W,Sports Nutrition,2008.0
/works/OL18340642W,"Integrating exercise, sports, movement, and mind",1998.0
/works/OL18528582W,Compulsive exercise and the eating disorders,1991.0
/works/OL152232W,Staying healthy,1997.0
/works/OL274170W,8 Minutes in the Morning,2001.0
/works/OL10376481W,Post-exercise carotid and radial artery palpation as indicators of heart rate during exercise,1981.0
/works/OL20340142W,Eccentric Exercise,2014.0
/works/OL8896076W,Navy SEAL Physical Fitness Guide,1997.0
/works/OL9229955W,Perspectives in Exercise Science and Sports Medicine,1989.0
/works/OL8487217W,Personal Fitness,1986.0
/works/OL10377418W,Fluid ingestion and long-distance running,1982.0
/works/OL2694248W,Comparative Vertebrate Exercise Physiology,1994.0
/works/OL1884572W,Magical Passes,1998.0
/works/OL1956492W,The Healthy Heart Miracle,2003.0
/works/OL3347970W,Foundations of athletic training,2004.0
/works/OL4489565W,Fit for life II,1987.0
/works/OL3934526W,"Body, mind, and sport",1994.0
/works/OL2000339W,Total fitness and wellness,2003.0
/works/OL14481785W,Body-for-life,1999.0
/works/OL15456158W,Strength and conditioning,2010.0
/works/OL1890455W,The Little Pilates Book,2001.0
/works/OL2269471W,Redesigning 50,2008.0
/works/OL2005230W,Foundations of sport and exercise psychology,1995.0
/works/OL17569148W,Fundamental Biomechanics of Sport and Exercise,2013.0
/works/OL16980668W,Conditioning for strength and human performance,2007.0
/works/OL9961193W,Sport and exercise psychology,2008.0
/works/OL18337402W,Physical activity and mental health,1997.0
/works/OL21261189W,Psychology of Sub-Culture in Sport and Physical Activity,2014.0
/works/OL8090174W,Sport and Exercise Psychology,2008.0
/works/OL17885412W,Exercise and mental health,1987.0
/works/OL21541042W,Introduction to Exercise Science,2000.0
/works/OL17495753W,Sport And Exercise Nutrition,2011.0
/works/OL16167982W,"Nutrition and metabolism in sports, exercise and health",2012.0
/works/OL16554927W,The psychology of strength and conditioning,2012.0
/works/OL17428313W,Routledge Handbook Of Physical Activity And Mental Health,2013.0
/works/OL15988048W,Women and exercise,2011.0
/works/OL21055708W,Routledge Companion to Sport and Exercise Psychology,2014.0
/works/OL16461530W,"Attachment in sport, exercise and wellness",2012.0
/works/OL6575409W,Physiology of exercise for physical education and athletics,1966.0
/works/OL5307460W,Anatomi och rörelselära inom idrotten,1984.0
/works/OL5831022W,Being Active (Healthy Eating My Pyramid),2006.0
/works/OL4638344W,The complete book of walking,1978.0
/works/OL4807658W,Activities for the elderly,1989.0
/works/OL3906748W,How to prevent falls,1989.0
/works/OL4990873W,Stable management and exercise,1900.0
/works/OL4656505W,A manual for tumbling and apparatus stunts,1968.0
/works/OL15587418W,How do my muscles get strong?,2011.0
/works/OL2357605W,Personal Fitness for You,1998.0
/works/OL21303959W,Physical Activity and the Gastro-Intestinal Tract,2016.0
/works/OL21655296W,Guide to Active Working in the Modern Office,2019.0
/works/OL21637284W,Exercising Female,2018.0
/works/OL21692855W,Feelings in Sport,2020.0
/works/OL25746296W,Research Methods in Physical Activity and Health,2018.0
/works/OL6905469W,Postural and relaxation training in physiotherapy and physical education,1956.0
/works/OL27425132W,Raise the Barre,2007.0
/works/OL29361666W,Access to Health,2005.0
/works/OL10376595W,"The effect of a 60-minute duration exercise, at the intensities of the lactate and the individual anaerobic thresholds, on the cardiovascular drift",1992.0
/works/OL10375636W,The effect of freeze-drying/fiber dissection technique on kinetic properties of dog skeletal muscle glycogen synthase,1985.0
/works/OL10353168W,The effects of warm-up on isokinetic muscle testing,1984.0
/works/OL22145699W,Psychology of Exercise,2020.0
/works/OL20520932W,Mental Health and Well-being Interventions in Sport,2019.0
/works/OL20751148W,"Sport, Welfare and Social Policy in the European Union",2020.0
/works/OL20751932W,Applied Sport Exercise and Performance Psychology,2020.0
/works/OL21284884W,Routledge Handbook of Physical Activity Policy and Practice,2017.0
/works/OL21299379W,Deleuze and the Physically Active Body,2019.0
/works/OL20315039W,Children and Exercise XIX,2013.0
/works/OL21484495W,Biochemistry for Sport and Exercise Metabolism,2011.0
/works/OL3368665W,The Ultimate Workout Log,1994.0
/works/OL893222W,Arnold's bodyshaping for women,1979.0
/works/OL8927482W,Exercises for Osteoporosis,2000.0
/works/OL8493932W,The Yoga Handbook,2001.0
/works/OL10377333W,The effects of one-sided resistance breathing on cardio-respiratory responses,1983.0
/works/OL10377645W,Effects of dietary iron-deficiency and anemia on the metabolic responses to sub-maximal exercise,1987.0
/works/OL10352412W,"Exercise, post-exercise metabolic rate and appetite",1984.0
/works/OL10352802W,Exercise-induced modifications in immune responsiveness in rats,1984.0
/works/OL273562W,The Firefighter's Workout Book,2000.0
/works/OL27275356W,Exercise Management for Referred Medical Conditions,2020.0
/works/OL2958046W,Fit or Fat,1978.0
/works/OL20235747W,"Laboratory Manual for Exercise Physiology, Exercise Testing, and Physical Fitness",2016.0
/works/OL2000338W,Total fitness,1995.0
/works/OL20426225W,The World of Physical Culture in Sport and Exercise,2011.0
/works/OL20347299W,Statistics for Exercise Science and Health with Microsoft Office Excel,2014.0
/works/OL523127W,Spriggles,2001.0
/works/OL8231072W,Standing Pilates,2004.0
/works/OL8979302W,Atomic Fitness,2006.0
/works/OL3004980W,Concepts of Fitness and Wellness,1996.0
/works/OL3004981W,Fitness for life,1979.0
/works/OL18121773W,Physical activity epidemiology,2003.0
/works/OL6903379W,The actor and his body,1975.0
/works/OL2041167W,Dieting for dummies,1998.0
/works/OL5832700W,Stretching for dummies,2007.0
/works/OL16461799W,The Manhattan diet,2012.0
/works/OL7013737W,The Y's way to physical fitness,1973.0
/works/OL19993594W,Strength training for fat loss,2014.0
/works/OL278989W,The pregnancy exercise book,2000.0
/works/OL21800587W,Exercised,2020.0
/works/OL4493984W,Are You Ready!,2008.0
/works/OL5756258W,Exercise Physiology,2003.0
/works/OL2713490W,"Ancient secret of the ""Fountain of Youth""",1985.0
/works/OL20048379W,Ballerina body,2017.0
/works/OL8136351W,5 Days to a Flatter Stomach,1997.0
/works/OL5913613W,Modern jazz dance,1977.0
/works/OL1840895W,Exercise testing and prescription,1998.0
/works/OL8409025W,Athletic Body in Balance,2003.0
/works/OL484342W,Physical fitness and wellness,1995.0
/works/OL16531714W,Game sense,2012.0
/works/OL2037988W,Assessment in physical education,1994.0
/works/OL15988508W,Single case research methods in sport and exercise psychology,2011.0
/works/OL8096662W,Psychology of physical activity,2001.0
/works/OL2736903W,Weight training,1992.0
/works/OL21188093W,Fitness and Wellness,2017.0
/works/OL3532284W,Anatomie pour le mouvement,1986.0
/works/OL18556535W,ACE advanced health & fitness specialist manual,2008.0
/works/OL18608368W,Pedagogy and human movement,2009.0
/works/OL21079404W,Activity Anorexia,1996.0
/works/OL19983195W,The joy of yoga,2014.0
/works/OL1930341W,Concepts in fitness programming,1999.0
/works/OL8447968W,"Measurement, Statistics, and Research Design in Physical Education and Exercise Science: Current Issues and Trends",1997.0
/works/OL4072231W,Human Muscle Fatigue,2009.0
/works/OL21283161W,Applied Exercise Psychology,2017.0
/works/OL16191139W,Statistics for sport and exercise studies,2012.0
/works/OL3853969W,Eva Fraser's facial workout,1991.0
/works/OL5701909W,Peaceful piggy yoga,2008.0
/works/OL3626276W,To the limit,1992.0
/works/OL3754170W,Strength and how to obtain it,1897.0
/works/OL4629850W,Dance a while,2004.0
/works/OL15844360W,Office yoga,2000.0
/works/OL16465039W,Dietary protein and resistance exercise,2012.0
/works/OL16531608W,Wes Cole's healthy habits,2012.0
/works/OL16061018W,Callanetics,1984.0
/works/OL18205390W,Introduction to exercise science,2002.0
/works/OL17784733W,Routledge handbook of qualitative research in sport and exercise,2016.0
/works/OL18639283W,Adequacy of evidence for physical activity guidelines development,2007.0
/works/OL19595762W,"Nutritional concerns in recreation, exercise, and sport",2009.0
/works/OL24443682W,Developing and Supporting Athlete Wellbeing,2021.0
/works/OL23228371W,Who's the new kid?,2015.0
/works/OL25767026W,Science and Practice of Middle and Long Distance Running,2021.0
/works/OL21353276W,Regulation of Serum Lipids by Physical Exercise,2017.0
/works/OL25796268W,Sports Performance Massage,2021.0
/works/OL25801428W,Creative Nonfiction in Sport and Exercise Research,2021.0
/works/OL25331764W,Physical Activity in Low- and Middle-Income Countries,2021.0
/works/OL2496021W,Physical fitness,1996.0
/works/OL24934973W,Peaceful piggy yoga,2014.0
/works/OL7976706W,Does My Bum Look Big in This?,1998.0
/works/OL6922608W,Physiological basis of human performance,1967.0
/works/OL6795130W,Sixty-plus & fit again,1977.0
/works/OL28024827W,Sport and Physical Activity in Catastrophic Environments,2022.0
/works/OL2969498W,Pilates for Every Body,2002.0
/works/OL10374946W,Maximal oxygen consumption during combined arm and leg work,1980.0
/works/OL10375162W,The effects of prolonged exercise and the ingestion of alanine and glucose during recovery on plasma carnitine and ketosis,1984.0
/works/OL10376031W,The role of blood-borne carbohydrates in exercise metabolism,1976.0
/works/OL148983W,Strength training for athletics,1965.0
/works/OL22136039W,"Kinanthropometry and Exercise Physiology Laboratory Manual : Tests, Procedures and Data : Volume One : Anthropometry and Volume Two",2003.0
/works/OL21264664W,Understanding Primary Physical Education,2015.0
/works/OL21257040W,Resistance Training for the Prevention and Treatment of Chronic Disease,2013.0
/works/OL21251956W,Biomechanical Evaluation of Movement in Sport and Exercise,2007.0
/works/OL21339835W,Kinanthropometry and Exercise Physiology,2003.0
/works/OL21339929W,Gymtherapy,2018.0
/works/OL3525460W,The walking diet,1991.0
/works/OL8895548W,Anybody's Guide to Total Fitness,1998.0
/works/OL142029W,Physiology of muscular activity,1953.0
/works/OL12890123W,Mobility exercises,1970.0
/works/OL27086424W,Routledge Handbook of Gender Politics in Sport and Physical Activity,2022.0
/works/OL2856680W,Bone Marrow Nei Kung,1988.0
/works/OL282250W,Fed Up!,2002.0
/works/OL25194467W,Exercise and Eating Disorders,2010.0
/works/OL262983W,You Sexy Thing!,2000.0
/works/OL24263622W,Estupenda en 9 semanas y media,2011.0
/works/OL3235515W,Eating for endurance,1980.0
/works/OL20249462W,Clinical Exercise Science,2016.0
/works/OL19394654W,Find a space!,1997.0
/works/OL21438357W,Total Fitness and Wellness,1000.0
/works/OL6809737W,The exercise balance,2007.0
/works/OL23882742W,Exercise for your muscle type,2004.0
/works/OL6451389W,Anatomy for students and teachers of physical education,1959.0
/works/OL4114054W,Walking,1992.0
/works/OL3971775W,Race for Life,1999.0
/works/OL2295937W,StressBusters,1996.0
/works/OL25746224W,Running with Robins,2018.0
/works/OL12370604W,From belly fat to belly flat,2007.0
/works/OL16713186W,Ballet beautiful,2012.0
/works/OL7001779W,Exercise Physiology,1985.0
/works/OL18606586W,Concepts of fitness and wellness,2008.0
/works/OL12002614W,Eat well and keep moving,2000.0
/works/OL1907159W,Active wellness,1998.0
/works/OL5850540W,The new rules of lifting for women,2007.0
/works/OL17535672W,The Complete Guide To Core Stability,2007.0
/works/OL1808282W,Get Fit - Stay Fit,1996.0
/works/OL2831348W,Lifetime Fitness,1986.0
/works/OL2618387W,Falun Gong's Challenge to China,2000.0
/works/OL17579282W,Boosting Your Metabolism For Dummies,2013.0
/works/OL8487280W,The Safe Exercise Handbook,1989.0
/works/OL21301584W,Sport and Health,2017.0
/works/OL3276360W,The crunch,1994.0
/works/OL5051465W,The dance workshop,1986.0
/works/OL1850740W,Power Training for Sport,1993.0
/works/OL21317859W,Laboratory and Field Exercises in Sport and Exercise Biomechanics,2017.0
/works/OL1839933W,Healthy at 100,2006.0
/works/OL1980801W,The aerobics program for total well-being,1982.0
/works/OL16509469W,The first 20 minutes,2012.0
/works/OL8135278W,12-Day Body Shaping Miracle,2007.0
/works/OL19730866W,Breathe like a bear,2017.0
/works/OL1572712W,Awareness through movement,1972.0
/works/OL3486996W,Fit to be well,2005.0
/works/OL4344868W,Anybody's guide to total fitness,1989.0
/works/OL15444197W,Advanced cardiovascular exercise physiology,2010.0
/works/OL21289984W,"Nutritional Supplements in Sport, Exercise and Health",2015.0
/works/OL18205615W,"Exercise, nutrition, and the older woman",2000.0
/works/OL8408933W,Exercise and disease management,1999.0
/works/OL16958368W,The masters athlete,2009.0
/works/OL8637961W,Nutrition and Exercise Concerns of Middle Age,2009.0
/works/OL21278894W,Green Exercise,2016.0
/works/OL15003084W,Fitness and Wellness,2008.0
/works/OL1815945W,Principles & techniques of patient care,1994.0
/works/OL27089178W,Strength and Conditioning in Sports,2022.0
/works/OL18613901W,Golf anatomy,2010.0
/works/OL1970546W,Essentials of exercise physiology,1994.0
/works/OL2920592W,Exercise physiology,1984.0
/works/OL5101963W,Textbook of work physiology,1970.0
/works/OL4975658W,The sensual body,1987.0
/works/OL2726828W,Pooh's Workout Book,1984.0
/works/OL2754329W,Health for Life,1995.0
/works/OL8530975W,Body panic,2008.0
/works/OL3358613W,Health fitness instructor's handbook,1986.0
/works/OL17528957W,Paleo Workouts For Dummies,2013.0
/works/OL9047616W,Weight Matters for Young People,2006.0
/works/OL21266369W,"Community Based Research in Sport, Exercise and Health Science",2014.0
/works/OL15834959W,Body after baby,2006.0
/works/OL16263437W,Developing endurance,2012.0
/works/OL21361034W,Sport in Scandinavia and the Nordic Countries,2018.0
/works/OL8096661W,Physical Activity and Psychological Well-Being,2000.0
/works/OL21040931W,Fitness and Wellness,2012.0
/works/OL4072238W,Science for Exercise and Sport,2001.0
/works/OL16600069W,Nutrition for sport and exercise,2012.0
/works/OL15074689W,Just Big Enough,2004.0
/works/OL2721912W,"Exercise, aging, and health",1998.0
/works/OL17399677W,The Yoga Ogre,2012.0
/works/OL2743188W,Get Fit (Colour Crunchies: Monster & Frog),1994.0
/works/OL5591112W,Bodylife,1977.0
/works/OL514315W,Conscious exercise and the transcendental sun,1974.0
/works/OL6677893W,Beginning conditioning,1965.0
/works/OL5702545W,The Complete Guide to Joseph H. Pilates' Techniques of Physical Conditioning,2000.0
/works/OL5859603W,The Ultimate New York Body Plan,2005.0
/works/OL5817942W,Surf flex,2000.0
/works/OL4772165W,Corps a ses raisons,1977.0
/works/OL481638W,Morris the mouse hunter,1995.0
/works/OL4215042W,De arte gymnastica libri sex,1587.0
/works/OL4079235W,Taoist health exercise book,1974.0
/works/OL3957202W,"The lazy person's guide to fitness, or, ""I get all the exercise I need walking around the office""",1994.0
/works/OL4828196W,The Pritikin permanent weight-loss manual,1981.0
/works/OL15974933W,"Super body, super brain",2010.0
/works/OL15832575W,The perfect exercise,1976.0
/works/OL17448740W,Cellular Physiology And Metabolism Of Physical Exercise,2012.0
/works/OL17474494W,Physical Activity And Cancer,2010.0
/works/OL16263027W,Psychoneuroendocrinology of sport and exercise,2012.0
/works/OL16588993W,Practical weight management in dogs and cats,2011.0
/works/OL15531302W,"Be fit, be strong, be you",2010.0
/works/OL18546333W,Tracy Anderson's 30-day method,2010.0
/works/OL15423816W,"The art, science, and application of Kundalini yoga",2010.0
/works/OL17333609W,A Short Guide to a Long Life,2014.0
/works/OL16978055W,The paleo solution,2010.0
/works/OL17822353W,Simply Pilates,2003.0
/works/OL1813262W,The art of changing,1989.0
/works/OL17581444W,Functional Neuroimaging In Exercise And Sport Sciences,2012.0
/works/OL1859681W,Ultimate anti-aging program,1995.0
/works/OL23279281W,Fernando exercises!,2013.0
/works/OL24209011W,Bigger Leaner Stronger,2012.0
/works/OL168023W,Lactate kinetics in man at rest and during exercise,1986.0
/works/OL10859319W,Age-group gymnastics workbook,1964.0
/works/OL25745401W,"Sport, Exercise, and Performance Psychology",2018.0
/works/OL25745345W,Maximising Performance in Hot Environments,2019.0
/works/OL25754064W,Politics of Physical Activity,2019.0
/works/OL25771556W,Warm-Up in Football,2021.0
/works/OL25753759W,Advancing the Profession of Exercise Physiology,2019.0
/works/OL25768320W,Dynamics of Modern Rugby,2021.0
/works/OL21304506W,Seeking the Senses in Physical Culture,2017.0
/works/OL21646257W,Dietary Supplementation in Sport and Exercise,2019.0
/works/OL21569645W,Diet and Exercise in Cognitive Function and Neurological Diseases,2015.0
/works/OL25752687W,Routledge Handbook of Sport and Exercise Systems Genetics,2019.0
/works/OL24893061W,"Walk, run, skip, and jump!",2012.0
/works/OL2647581W,ACSM's resource manual for Guidelines for exercise testing and prescription,1993.0
/works/OL8023055W,"Exercise, Health and Mental Health",2005.0
/works/OL7911983W,Fit to Surf,2001.0
/works/OL6706398W,Aerobics for women,1972.0
/works/OL6798191W,Body dynamics,1960.0
/works/OL6922607W,Physical and physiological conditioning for men,1966.0
/works/OL7114646W,Keep fit,1983.0
/works/OL7198459W,Remarks On The Influence Of Mental Cultivation And Mental Excitement Upon Health,1833.0
/works/OL7668955W,The physiology of muscular exercise,1919.0
/works/OL5358718W,An introduction to pool exercises,1956.0
/works/OL272423W,Yogilates,2002.0
/works/OL2653658W,Staying hard,1980.0
/works/OL26739367W,Exercise Physiology,2013.0
/works/OL2751518W,"Stretching for fitness, health & performance",1998.0
/works/OL274169W,The 12 Second Sequence,2007.0
/works/OL2946484W,Super callanetics,1991.0
/works/OL3001594W,Let's Work It Out,1994.0
/works/OL10376567W,Biochemical and immunological analyses of creatine kinase isoenzymes from human heart and skeletal muscle,1986.0
/works/OL10377225W,The effects of a three-month cardiorespiratory fitness program on selected physiological and psychological parameters,1981.0
/works/OL10377218W,"Skeletal muscle in iron deficient and trained, iron deficient rats",1988.0
/works/OL10376813W,Effects of a localized exercise program on skinfold and girth measures of adult women,1979.0
/works/OL10376946W,Measuring commitment to physical activity,1981.0
/works/OL10376469W,Respiratory synchronization with exercise,1983.0
/works/OL10376515W,Plasma renin response to graded exercise in borderline hypertensive young males,1982.0
/works/OL10377058W,Locus of control and adherence to exercise programs,1984.0
/works/OL10377109W,"A comparison of male and female runners, weight lifters, and sedentary controls in the R-amp response to exercise testing",1989.0
/works/OL10376826W,The effects of prolonged submaximal exercise on androgen and gonadotrophin levels in males with insulin dependent diabetes mellitus,1983.0
/works/OL10351794W,The gross and net efficiencies of small amplitude jumping in college age females,1981.0
/works/OL10351777W,The effect of exercise on morphological changes associated with senile muscular atrophy,1981.0
/works/OL10351809W,The effects of endurance exercise on metabolic water production and plasma volume changes,1982.0
/works/OL10351855W,"Myocardial revascularization, physical training and work performance",1972.0
/works/OL10351728W,The effect of aerobic exercise on the rate of protein catabolism during a seventy-two hour fast,1981.0
/works/OL10375425W,A comparison study of the maximum aerobic capacity of children with and without innocent heart murmurs,1979.0
/works/OL10375147W,"The effects of a 12-week cardiovascular exercise program on the resting blood pressure, body weight and resting heart rate levels of hypertensive individuals",1984.0
/works/OL10375375W,A comparison of predicted and measured oxygen consumption among healthy males,1987.0
/works/OL10375045W,Effects of an action-oriented teaching approach on student attitude toward physical fitness and exercise,1972.0
/works/OL10375497W,Effects of acute and chronic exercise on respiratory muscle biochemistry and bioenergetics,1985.0
/works/OL10375277W,Sex-related influences on exercise-induced myocardial phosphorylase conversion and associated glycogen depletion,1980.0
/works/OL10374666W,The two-factor theory of warm-up exercise in heavy physical work,1972.0
/works/OL10375405W,The effect of caffeine ingestion on fat metabolism during exercise in the fasted and non-fasted state,1984.0
/works/OL10374836W,The effects of vasectomy and exercise upon arterial extensibility and the extent and severity of atherosclerosis,1982.0
/works/OL10375318W,Physiological and anthropometric factors underlying endurance performance in boys and girls,1980.0
/works/OL10375003W,"The effect of a ten week parcours exercise program on self concept, body cathexis, life and job satisfaction of state employees",1980.0
/works/OL10375373W,Measurement of plasma beta-endorphin-like immunoreactivity at rest and in response to maximal exercise stress,1981.0
/works/OL10374818W,The effects of isometric and isotonic exercise upon selected cardiac intervals,1975.0
/works/OL10374841W,The effects of a six-month exercise maintenance program on the cardiovascular fitness levels of participants,1981.0
/works/OL10375860W,The relationship of fat patterning to peripheral resistance following supine submaximal exercise,1988.0
/works/OL10376228W,The effects of age on thermal response to immersion during rest and exercise,1979.0
/works/OL10375670W,"Physical activity, calcium intake, body composition and stature as predictors of bone indices in college-aged men",1988.0
/works/OL10375539W,Reliability of cardiovascular and metabolic response to hydraulic resistive exercise,1982.0
/works/OL10376361W,"Effects of diet therapy, behavior modification, and exercise on weight reduction and body composition",1980.0
/works/OL13630760W,Exercise science,2003.0
/works/OL12692831W,An address to the middle classes upon the subject of gymnastic exercises,1848.0
/works/OL11652472W,Conditioning for outdoor fitness,1999.0
/works/OL206122W,The effects of hemoglobin supplements upon maximal oxygen uptake in females,1978.0
/works/OL20677363W,Endocrinology of Physical Activity and Sport,2013.0
/works/OL21301483W,Physical Activity in Diverse Populations,2017.0
/works/OL21313752W,Positive Psychology in Sport and Physical Activity,2017.0
/works/OL21310070W,Physical Activity and the Abdominal Viscera,2017.0
/works/OL21321430W,Researching Difference in Sport and Physical Activity,2018.0
/works/OL213418W,Exercise in education and medicine,1909.0
/works/OL21255180W,Sport and Exercise Science,2005.0
/works/OL21787295W,Body Fit,2013.0
/works/OL21836846W,"Run and Hike, Play and Bike",2011.0
/works/OL21348527W,"Ageing, Physical Activity and Health",2018.0
/works/OL3525459W,Fitness walking,1992.0
/works/OL4301305W,Essential exercises for the childbearing year,1976.0
/works/OL4288598W,Biomechanics and exercise physiology,2007.0
/works/OL4244677W,Physical Education & the Study of Sport,1990.0
/works/OL4283000W,"Nutrition, weight control, and exercise",1977.0
/works/OL8867594W,Can't Play Won't Play,2008.0
/works/OL95556W,Vitalic breathing,1923.0
/works/OL9153926W,Body fitness and exercise,1995.0
/works/OL9757585W,Effects of a prolonged low carbohydrate diet on liver glycogen and endurance in rats,1982.0
/works/OL9494058W,Buff dad,2008.0
/works/OL8641438W,Get Fit While You Sit,1999.0
/works/OL8953169W,Zhuan Falun,1996.0
/works/OL8504419W,The effects of selected warm-up procedures on internal core temperature,1982.0
/works/OL10508893W,The culture of the abdomen,1927.0
/works/OL10371076W,Glycogen synthase in canine skeletal muscle,1985.0
/works/OL10492222W,Physiology of exercise,1959.0
/works/OL10377192W,The influence of physical conditioning and deconditioning upon cardiac structure of males and females,1980.0
/works/OL10376842W,Mild iron deficiency and hormonal alterations during rest and exhaustive exercise,1990.0
/works/OL10376704W,"Effects of vitamin B-6 supplementation and exercise to exhaustion on nitrogen balance, total urinary nitrogen & urinary urea in trained male cyclists",1993.0
/works/OL10352697W,The effect of the ingestion of glucose and fructose on blood glucose concentration of resting and exercising university students,1982.0
/works/OL10352716W,The effect of exercise and epinephrine on insulin binding to mononuclear leucocytes,1984.0
/works/OL10352050W,Hemodynamic response to full (-90)̊ inversion before exercise and after exercise at 75% intensity on the treadmill,1986.0
/works/OL10352647W,A flexible multistage treadmill exercise protocol for prediction of anaerobic threshold and determination of aerobic capacity in young adults,1982.0
/works/OL10352312W,Rat soleus magnesium as influenced by chronic endurance exercise and dietary magnesium,1987.0
