author_key,author_name
/authors/OL1781480A,George Kirkley
/authors/OL1232717A,Raquel Welch
/authors/OL7689284A,Mark D. Mamrack
/authors/OL761477A,Craig Williams
/authors/OL162676A,Dudley Allen Sargent
/authors/OL2546370A,Francis Fuller
/authors/OL4357603A,Michael Gleeson
/authors/OL8136445A,Nicolette Bishop
/authors/OL5514583A,Neil Walsh
/authors/OL527198A,Ken Sprague
/authors/OL238241A,Kenneth H. Cooper
/authors/OL543228A,Elisabeth Bing
/authors/OL3024372A,Morc Coulson
/authors/OL3342770A,Dean Sewell
/authors/OL4874787A,Phillip A. Bishop
/authors/OL2630900A,Mariel Hemingway
/authors/OL391272A,Judith Rink
/authors/OL2848126A,Judith E. Rink
/authors/OL3469363A,Andrew C. Sparkes
/authors/OL3056417A,Brett Smith
/authors/OL2466344A,Ida M. Webb
/authors/OL7352658A,Zoe Knowles
/authors/OL1430439A,Heather Hedrick Fink
/authors/OL79023A,Arnold Schwarzenegger
/authors/OL38648A,Douglas Kent Hall
/authors/OL1334216A,Gershon Tenenbaum
/authors/OL1799792A,Laurence Englemohr Morehouse
/authors/OL1435875A,Lou Schuler
/authors/OL2815014A,Jeff Volek
/authors/OL1391489A,Michael Mejia
/authors/OL2815016A,Andy Campbell
/authors/OL3079960A,Adam Campbell
/authors/OL1456748A,David R. Lamb
/authors/OL7044972A,Gina Bellisario
/authors/OL7636091A,Renée Kurilla
/authors/OL403752A,Bud Getchell
/authors/OL456781A,Robert V. Hockey
/authors/OL6268671A,Scott Fleming
/authors/OL5526129A,Sheldon Hanton
/authors/OL8040423A,Rich Neil
/authors/OL8040424A,Kylie Wilson
/authors/OL8146898A,Mark R. Beauchamp
/authors/OL7896915A,Mark A. Eys
/authors/OL549062A,Joy Bauer
/authors/OL229344A,Wayne L. Westcott
/authors/OL390182A,"Anderson, Bob"
/authors/OL3408130A,Tedd Mitchell
/authors/OL223956A,George McGlynn
/authors/OL2770707A,McGlynn
/authors/OL2816691A,Terry J. Housh
/authors/OL1481802A,Deidre Johnson-Cane
/authors/OL2626435A,Jonathon Cane
/authors/OL2626436A,Joe Glickman
/authors/OL2626437A,Jonathan Cane
/authors/OL3122007A,Deidre Johnson Cane
/authors/OL33313A,Jeanne Willis
/authors/OL6924966A,Tony Ross
/authors/OL1190807A,Alix Kirsta
/authors/OL542215A,Allegra Kent
/authors/OL2697054A,Anthony Laker
/authors/OL3908986A,Serge Berthoin
/authors/OL319833A,Eric Heiden
/authors/OL3352878A,Massimo Testa
/authors/OL3352879A,Deanne Musolf
/authors/OL3804424A,Shaun Phillips
/authors/OL1006253A,Thomas Battinelli
/authors/OL2624296A,Nick Holt
/authors/OL3948465A,Margaret Talbot
/authors/OL7143463A,Alan Ovens
/authors/OL7143464A,Tim Hopper
/authors/OL3017243A,Joy Butler
/authors/OL1389849A,Betsy Dru Tecco
/authors/OL1401764A,Ellie Herman
/authors/OL2697091A,Jan Wright
/authors/OL7331138A,Ronald J. Maughan
/authors/OL1521598A,Kate F. Hays
/authors/OL886667A,Alayne Yates
/authors/OL22159A,"McGinty, Alice B."
/authors/OL2629578A,Jorge Cruise
/authors/OL658529A,Anthony Robbins
/authors/OL4299109A,William Couldry
/authors/OL1103469A,Hans Hoppeler
/authors/OL3064187A,Patricia Duester
/authors/OL3084606A,Patricia A. Deuster
/authors/OL3289761A,Carl V. Gisolfi
/authors/OL601798A,"Williams, Charles S."
/authors/OL4299956A,Teresa A. Schrader
/authors/OL393795A,James H. Jones
/authors/OL225589A,Carlos Castaneda
/authors/OL234749A,Gabe Mirkin
/authors/OL543318A,Marcia K. Anderson
/authors/OL233133A,Susan J. Hall
/authors/OL401962A,Malissa Martin
/authors/OL896595A,Harvey Diamond
/authors/OL401206A,Marilyn Diamond
/authors/OL716915A,John Douillard
/authors/OL6364554A,Bill Phillips
/authors/OL6843725A,Marco Cardinale
/authors/OL226282A,Erika Dillman
/authors/OL296164A,Oz Garcia
/authors/OL241533A,Robert S. Weinberg
/authors/OL490002A,James Watkins
/authors/OL2862757A,T. Jeff Chandler
/authors/OL7560613A,Lee E. Brown
/authors/OL3928412A,Andrew M. Lane
/authors/OL895173A,William P. Morgan
/authors/OL3087296A,Robert J. Schinke
/authors/OL7806718A,Kerry R. McGannon
/authors/OL2693628A,Ellis Cashmore
/authors/OL34211A,Ernest Cashmore
/authors/OL2060323A,Stephen E. Goldston
/authors/OL2816692A,Dona J. Housh
/authors/OL7330876A,Susan A. Lanham-New
/authors/OL3470594A,Jie Kang
/authors/OL4378116A,David Tod
/authors/OL7095552A,David Lavallee
/authors/OL7311188A,Panteleimon Ekkekakis
/authors/OL544751A,Eileen Kennedy
/authors/OL8052360A,Athanasios Papaioannou
/authors/OL430087A,Dieter Hackfort
/authors/OL3726220A,Sam Carr
/authors/OL1763464A,Herbert A. De Vries
/authors/OL1207288A,Rolf Wirhed
/authors/OL952409A,Charles T. Kuntzleman
/authors/OL1012404A,Sandra D. Parker
/authors/OL3062739A,"Carol, Will"
/authors/OL3062740A,"Sandra D., Parker"
/authors/OL3062741A,"Cheryl L., Burke"
/authors/OL2872713A,Sandra Parker
/authors/OL3265066A,Carol Will
/authors/OL710744A,Betty Perkins-Carpenter
/authors/OL1197916A,Bill Foley
/authors/OL1660487A,Dick Roberts
/authors/OL3294323A,Betty Perkins Carpenter
/authors/OL1079554A,M. Horace Hayes
/authors/OL957303A,Otto E. Ryser
/authors/OL1760343A,James Rollar Brown
/authors/OL43360A,Steve Parker
/authors/OL7477131A,Steve Parker
/authors/OL320084A,Roberta Stokes
/authors/OL542353A,Roy J. Shephard
/authors/OL8164103A,Robert Bridger
/authors/OL8275737A,Jacky Forsyth
/authors/OL8275738A,Claire-Marie Roberts
/authors/OL8299487A,Montse C. Ruiz
/authors/OL8299488A,Claudio Robazza
/authors/OL2823643A,Stephen R. Bird
/authors/OL1910520A,John H. C. Colson
/authors/OL1435744A,Richard Giorla
/authors/OL2629946A,Laurel House
/authors/OL4299218A,Ulf Torsten Buhre
/authors/OL4298349A,Lynn Eris Ahlquist
/authors/OL4285433A,Robert S. Axtell
/authors/OL1919797A,Josephine Perry
/authors/OL9492790A,Gerard Leavey
/authors/OL7893030A,Gavin Breslin
/authors/OL319236A,Stefano Martelli
/authors/OL850637A,Alberto Testa
/authors/OL7900247A,Nicola R. Porro
/authors/OL7900888A,Martin Eubank
/authors/OL8153116A,Joe Piggin
/authors/OL2332776A,Louise Mansfield
/authors/OL1517502A,Mike Weed
/authors/OL2782493A,Pirkko Markula
/authors/OL2701159A,N. Armstrong
/authors/OL2954239A,Donald MacLaren
/authors/OL155589A,James Morton
/authors/OL3084592A,Dianne Ma Daniels
/authors/OL3084593A,Dianne Daniels
/authors/OL2837856A,Noa Belling
/authors/OL4299879A,Claudia Ruth Turner
/authors/OL4300172A,Marialice Kern
/authors/OL4284718A,William Elmer Reger
/authors/OL4285086A,Mary Ann Carmack
/authors/OL2629150A,Michael Stefano
/authors/OL716009A,Andrew Scott
/authors/OL9916532A,David Broom
/authors/OL451755A,Covert Bailey
/authors/OL703264A,J. P. Verma
/authors/OL36646A,Jeff Gottlieb
/authors/OL3100506A,Martha Gottlieb
/authors/OL2739994A,Joan Breibart
/authors/OL3117663A,Steve Michalik
/authors/OL2804566A,Rod K. Dishman
/authors/OL3283081A,"Richard A., Ph.D. Washburn"
/authors/OL3283082A,Gregory W. Heath
/authors/OL1909691A,Litz Pisk
/authors/OL247243A,Jane Kirby
/authors/OL1429918A,LaReine Chabut
/authors/OL7065700A,Eileen Daspin
/authors/OL1962962A,Clayton R. Myers
/authors/OL5128068A,YMCA.
/authors/OL2036506A,Lawrence Arthur Golding
/authors/OL1958671A,Wayne E. Sinning
/authors/OL7598900A,Nick Tumminello
/authors/OL2632598A,Judy DiFiore
/authors/OL2632599A,Ltd Carroll & Brown
/authors/OL7985879A,Daniel Lieberman
/authors/OL898114A,Bob Harper
/authors/OL1400589A,Tudor Hale
/authors/OL396918A,Peter Kelder
/authors/OL7245181A,Misty Copeland
/authors/OL2711353A,Monica Grenfell
/authors/OL1460189A,Fred Traguth
/authors/OL220460A,David C. Nieman
/authors/OL2804731A,Gray Cook
/authors/OL30298A,Jerrold S. Greenberg
/authors/OL543882A,George B. Dintiman
/authors/OL2672165A,Barbee Myers Oakes
/authors/OL7945566A,Jennifer D. Irwin
/authors/OL7087416A,Richard Light
/authors/OL246631A,Bob Carroll
/authors/OL3716447A,Jamie Barker
/authors/OL2696080A,Stuart Biddle
/authors/OL401170A,Thomas R. Baechle
/authors/OL2804864A,Roger W. Earle
/authors/OL8113894A,Carol K. Armbruster
/authors/OL8113895A,Ellen M. Evans
/authors/OL8113896A,Catherine M. Sherwood-Laughlin
/authors/OL592123A,Blandine Calais-Germain
/authors/OL948987A,Cedric X. Bryant
/authors/OL2798043A,Richard Tinning
/authors/OL884132A,W. Frank Epling
/authors/OL220302A,W. David Pierce
/authors/OL7521108A,Emma Silverman
/authors/OL231542A,Robert G. McMurray
/authors/OL2818005A,Terry M. Wood
/authors/OL7899068A,Selen Razon
/authors/OL869057A,Michael L. Sachs
/authors/OL6732012A,Peter O'Donoghue
/authors/OL690961A,Eva Fraser
/authors/OL1387681A,Kerry Lee MacLean
/authors/OL618039A,Jeffrey Crelinsten
/authors/OL659823A,Eugen Sandow
/authors/OL950229A,Anne Pittman
/authors/OL2672293A,Anne M. Pittman
/authors/OL2672294A,Marlys S. Waller
/authors/OL2672295A,Cathy L. Dark
/authors/OL1390770A,Darrin Zeer
/authors/OL7067189A,Lonnie Michael Lowery
/authors/OL7067190A,"Antonio, Jose PhD"
/authors/OL7087382A,Wes Cole
/authors/OL509884A,Sallie Batson
/authors/OL126138A,Glen Johnson
/authors/OL3137204A,Andrew Sparkes
/authors/OL1347067A,Carol West Suitor
/authors/OL3287501A,Vivica I. Kraak
/authors/OL2909843A,Judy A. Driskell
/authors/OL2909875A,Ira Wolinsky
/authors/OL7300931A,Natalie Campbell
/authors/OL8165356A,Abbe Brady
/authors/OL9202348A,Alison Tincknell-Smith
/authors/OL8806399A,Heidi Bond
/authors/OL7698297A,Richard Blagrove
/authors/OL9743403A,Philip R. Hayes
/authors/OL8181404A,Hietanen
/authors/OL9757496A,Steve Bedford
/authors/OL9760015A,Francesca Cavallerio
/authors/OL9579823A,Katja Siefken
/authors/OL9579824A,Andrea Ramirez Varela
/authors/OL9579825A,Temo Waqanivalu
/authors/OL7354148A,Nico Schulenkorf
/authors/OL349911A,David F. Apple
/authors/OL3006072A,Kerry Lee Maclean
/authors/OL2658254A,Arabella Weir
/authors/OL1917267A,Benjamin Ricci
/authors/OL1857609A,Magda Rosenberg
/authors/OL4697255A,Jack Black
/authors/OL10455705A,Jim Cherrington
/authors/OL453956A,Denise Austin
/authors/OL4297745A,Thomas Roberts Hill
/authors/OL4297930A,James Irish Carlin
/authors/OL4298704A,Gregory John Bagby
/authors/OL2161934A,Ron Pickering
/authors/OL2696095A,Roger Eston
/authors/OL2696096A,Thomas Reilly
/authors/OL7049327A,Gerald Griggs
/authors/OL8141052A,Joseph Ciccolo
/authors/OL7474816A,William J. Kraemer
/authors/OL8138781A,Carl Payton
/authors/OL226618A,Roger Bartlett
/authors/OL8138782A,Adrian Burden
/authors/OL8138783A,Carl J. Payton
/authors/OL2804594A,Kevin Norton
/authors/OL8175968A,Rebekah Pierre
/authors/OL590485A,Les Snowdon
/authors/OL541770A,Maggie Humphreys
/authors/OL3063829A,Leonard Kravitz
/authors/OL2074812A,"Karpovich, Peter V."
/authors/OL5826862A,Peter R. Harper
/authors/OL10154879A,Győző Molnár
/authors/OL9924871A,Rachael Bullingham
/authors/OL430134A,Mantak Chia
/authors/OL2623385A,Maneewan Chia
/authors/OL2636299A,Wendy Oliver-Pyatt
/authors/OL1438787A,Simona Giordano
/authors/OL2623455A,Amanda Ursell
/authors/OL9130258A,Juan Rallo
/authors/OL527240A,Ellen Coleman
/authors/OL4887545A,Christopher Gidlow
/authors/OL2729204A,Stephen Pain
/authors/OL114510A,Stephen Dodd
/authors/OL3342572A,Virginia Noland
/authors/OL1863204A,Pauline S. Powers
/authors/OL2958843A,Pauline Powers
/authors/OL1617128A,Ron Thompson
/authors/OL3117635A,Michelle Lovitt
/authors/OL3117636A,John Speraw
/authors/OL1711141A,J. W. Perrott
/authors/OL771701A,Casey Meyers
/authors/OL726743A,Ruth Heidrich
/authors/OL302351A,Katherine Butler
/authors/OL9732789A,Gemma Bell
/authors/OL5437765A,C. W. Randolph
/authors/OL3507045A,C.W. Randolph M.D.
/authors/OL534057A,Genie James
/authors/OL7155127A,Mary Helen Bowers
/authors/OL1958261A,Charles O. Dotson
/authors/OL5179044A,Lilian W. Y. Cheung
/authors/OL2733267A,Lilian W. Y. Cheung
/authors/OL3258301A,Steven Lawrence Gortmaker
/authors/OL3258302A,Hank Dart
/authors/OL228328A,Gayle Reichler
/authors/OL1388392A,Matt Lawrence
/authors/OL216897A,William E. Prentice
/authors/OL423157A,H. Larry Brown
/authors/OL381427A,Danny Schechter
/authors/OL7353976A,Rachel Berman
/authors/OL2834336A,Toni T. Branner
/authors/OL8104758A,Daniel Parnell
/authors/OL8160336A,Peter Krustrup
/authors/OL534856A,Karen Amen
/authors/OL1103035A,Robert Cohan
/authors/OL221502A,Tudor O. Bompa
/authors/OL220358A,John Robbins
/authors/OL541712A,Gretchen Reynolds
/authors/OL2710994A,Michael Thurmond
/authors/OL7530728A,Kira Willey
/authors/OL1551744A,Moshe Feldenkrais
/authors/OL581895A,Alton L. Thygerson
/authors/OL850314A,Len Kravitz
/authors/OL2672030A,Denise L. Smith
/authors/OL8155347A,Linda M. Castellitto
/authors/OL8155348A,Samantha J. Stear
/authors/OL8155349A,Louise M. Burke
/authors/OL2908242A,Maria A. Fiatarone Singh
/authors/OL2804688A,Brian C. Leutholtz
/authors/OL600314A,Ignacio Ripoll
/authors/OL2190200A,Joseph J. Baker
/authors/OL1078162A,Joe Baker
/authors/OL7901537A,Sean Horton
/authors/OL4925375A,Jo Barton
/authors/OL8150400A,Rachel Bragg
/authors/OL8150401A,Carly Wood
/authors/OL2967889A,Jules Pretty
/authors/OL217790A,Frank M. Pierson
/authors/OL2797176A,Sheryl L. Fairchild
/authors/OL661113A,Michael Stone
/authors/OL10156315A,Timothy J. Suchomel
/authors/OL6778353A,Craig Davies
/authors/OL444903A,George A. Brooks
/authors/OL23573A,"Fahey, Thomas D."
/authors/OL3040714A,Timothy G. White
/authors/OL1123406A,Per-Olof Åstrand
/authors/OL1074789A,Lucy Lidell
/authors/OL950290A,Sara Thomas
/authors/OL399280A,Ethan Mordden
/authors/OL404235A,Robert Sachs
/authors/OL2854542A,Shari L. Dworkin
/authors/OL3606937A,Shari Dworkin
/authors/OL3606938A,Faye Wachs
/authors/OL5984647A,Patrick Flynn
/authors/OL3161273A,Rachel Pryke
/authors/OL8145079A,Kerry McGannon
/authors/OL3097225A,Jackie Keller
/authors/OL7035008A,Ben Reuter
/authors/OL4893556A,Ken Green
/authors/OL8184304A,Thorsteinn Sigurjonsson
/authors/OL8184305A,Eivind Asrum Skille
/authors/OL7112415A,Hayley Daries
/authors/OL39750A,Mercer Mayer
/authors/OL398413A,Sandra O'Brien Cousins
/authors/OL579372A,Peter Bently
/authors/OL402340A,Rose Impey
/authors/OL1345411A,Arthur Balaskas
/authors/OL35763A,Adi Da Samraj
/authors/OL1804866A,Donald K. Mathews
/authors/OL1387822A,Allan Menezes
/authors/OL1438976A,David Kirsch
/authors/OL1425434A,Paul Frediani
/authors/OL1002032A,Thérèse Bertherat
/authors/OL2676295A,Therese Bertherat
/authors/OL886595A,Carol Bernstein
/authors/OL30130A,Vivian French
/authors/OL2790662A,Olivia Villet
/authors/OL804884A,Girolamo Mercuriale
/authors/OL2630593A,Da Liu
/authors/OL722459A,Charles Swencionis
/authors/OL3085135A,E. Davis Ryan
/authors/OL6782809A,Michael Gonzalez-Wallace
/authors/OL1708361A,Curtis Mitchell
/authors/OL7204016A,Livio Luzi
/authors/OL7324657A,Christine M. Friedenreich
/authors/OL7034873A,Felix Ehrlenspiel
/authors/OL7108015A,Todd L. Towell
/authors/OL486070A,Rebecca Kajander
/authors/OL2884514A,Tracy Anderson
/authors/OL2834339A,Nirvair Singh Khalsa
/authors/OL7171380A,David B. Agus
/authors/OL7211340A,Robb Wolf
/authors/OL3051665A,Jennifer Pohlman
/authors/OL217515A,Glen Park
/authors/OL3156804A,Park Glen
/authors/OL7354956A,Henning Boecker
/authors/OL222647A,Gary Null
/authors/OL8830247A,Jill Kay
/authors/OL2918239A,Michael Matthews
/authors/OL2210344A,William C. Stanley
/authors/OL4524757A,James Farkas
/authors/OL8057100A,J. Gualberto Cremades
/authors/OL9732392A,Angus Mugford
/authors/OL9732365A,Christopher J. Tyler
/authors/OL9745678A,Jens Bangsboo
/authors/OL9745679A,Casper Skovgaard
/authors/OL1428920A,Tommy Boone
/authors/OL3525526A,Bruce Davies
/authors/OL7112120A,Julien Baker
/authors/OL8279371A,Jay R. Hoffman
/authors/OL3381807A,Akhlaq A. Farooqui
/authors/OL7018831A,Tahira Farooqui
/authors/OL9736081A,J. Timothy Lightfoot
/authors/OL9736082A,Monica J. Hubal
/authors/OL2804920A,Stephen M. Roth
/authors/OL9384626A,Daniel Faraday
/authors/OL385946A,American College of Sports Medicine.
/authors/OL2671672A,Guy E. J. Faulkner
/authors/OL2636907A,Rocky Snyder
/authors/OL1814313A,Mildred Cooper
/authors/OL1858713A,Gertrude Enelow
/authors/OL2018136A,Eileen Fowler
/authors/OL2066511A,Amariah Brigham
/authors/OL2361736A,Francis Arthur Bainbridge
/authors/OL7172125A,Elizabeth Bolton
/authors/OL2628630A,Jonathan Urla
/authors/OL386925A,Charles Gaines
/authors/OL10053856A,Randy W. Bryner
/authors/OL10053857A,David A. Donley
/authors/OL403746A,Christopher A. Oswald
/authors/OL2819446A,Dr. Christopher Oswald
/authors/OL2819447A,Dr. Stanley Bacso
/authors/OL460456A,Lila Swell
/authors/OL4299192A,Carole Marie Schneider
/authors/OL4299780A,Jacqueline A. Palmer
/authors/OL4299773A,Jay Austin Johnson
/authors/OL4299406A,Pamela Carol Butler
/authors/OL4299526A,Candace E. Gruger
/authors/OL4299099A,Margaret Ann Lowdermilk
/authors/OL4299142A,Josephine Will
/authors/OL4299628A,Marina Loi McCready
/authors/OL4299675A,Denise Laurel Hennings
/authors/OL4299418A,Robert Brian Vogel
/authors/OL4284162A,James William Agnew
/authors/OL4284147A,Charles Lewis Stebbins
/authors/OL4284174A,James M. Pivarnik
/authors/OL4284215A,Neil Bryan Oldridge
/authors/OL4284106A,George Eugene Sourisseau
/authors/OL4298159A,Patricia Ignagni
/authors/OL4297919A,Jackie L. Hoglund
/authors/OL4298114A,Cindy Oakes Hester
/authors/OL4297827A,LeRoy Douglas Smith
/authors/OL4298224A,Ralph Frank Fregosi
/authors/OL4298028A,William L. Rumsey
/authors/OL4297492A,Hugh Warren Bonner
/authors/OL4298141A,Regine Harford
/authors/OL4297645A,Francis Stephen Bridges
/authors/OL4298067A,Yehoshua Palgi
/authors/OL4297795A,Lauve L. Metcalfe
/authors/OL4298112A,Anne Healey
/authors/OL4297627A,Gary Dameron Lindberg
/authors/OL4297651A,Deborah A. Carney
/authors/OL4298542A,Patricia Marie Darragh
/authors/OL4298879A,Shunsaku Koga
/authors/OL4298378A,Scott Louis Burtt
/authors/OL4298262A,Carole Anne Jones
/authors/OL4299002A,Barbara Loebeck Moyer
/authors/OL6487566A,Ted Temertzoglou
/authors/OL3793141A,Ted Temertzoglou
/authors/OL709611A,Paul Challen
/authors/OL5675779A,"Dalmeny, Archibald Primrose Baron"
/authors/OL4925590A,David Musnick
/authors/OL2913622A,Mark Pierce
/authors/OL2913623A,"Mark, A.T.C. Pierce"
/authors/OL2913671A,David Musnick
/authors/OL2411359A,Ernest Albert Miller
/authors/OL7842580A,Naama Constantini
/authors/OL7842581A,Anthony C Hackney
/authors/OL7808273A,Melissa Bopp
/authors/OL7325376A,Bridget Grenville-Cleave
/authors/OL8168430A,Richard Medcalf
/authors/OL8168431A,Chris Mackintosh
/authors/OL2427572A,R. Tait McKenzie
/authors/OL8140228A,Dean A. Sewell
/authors/OL3342771A,Philip Watkins
/authors/OL3342772A,Murray Griffin
/authors/OL3079513A,Greg Marshall
/authors/OL7494521A,Brian P. Cleary
/authors/OL7296771A,Martin Goneau
/authors/OL8144988A,Intuitive
/authors/OL3137800A,Karin Volkwein-Caplan
/authors/OL8179511A,Jasmin Tahmaseb McConatha
/authors/OL3153518A,Les Snowden
/authors/OL2844853A,Maggie Humphries
/authors/OL4242942A,Magg Humphreys
/authors/OL835675A,Elizabeth Noble
/authors/OL832216A,"Johnson, Arthur T."
/authors/OL815853A,Bob Davis
/authors/OL3337484A,R.J. Davis
/authors/OL3459040A,J.V. Roscoe
/authors/OL3459041A,D.A. Roscoe
/authors/OL830712A,Frank I. Katch
/authors/OL3047053A,Sharon Drew
/authors/OL17631A,Thomas Robert Gaines
/authors/OL3232442A,Mo Rosser
/authors/OL3747268A,Daniel L. Drew
/authors/OL3507032A,Mike Levinson
/authors/OL3507033A,Michelle Ponto
/authors/OL2911754A,Charlene Torkelson
/authors/OL2843619A,Roger L. Hammer
/authors/OL4360697A,Frederick Arthur Hornibrook
/authors/OL4294707A,Linda Louise Anderson
/authors/OL4353882A,Laurence Englemohr Morehouse
/authors/OL4299752A,Abdul-Rahman Saleh Al-Muhailani
/authors/OL4299433A,Bradley Alan Zinker
/authors/OL4299318A,Ingrid A. Skoog
/authors/OL4284987A,Scott Mather Hasson
/authors/OL4285006A,Bret Lee MacPherson
/authors/OL4284388A,John B. Hammett
/authors/OL4284939A,Henry R. Bradley
/authors/OL4284627A,Paul Alan Smith
/authors/OL4284489A,Ross Thomas Sanders
/authors/OL4284916A,Spencer Jackson Loughton
/authors/OL4284612A,Timothy Wheeler Henrich
/authors/OL4284539A,Monica Louise Gaddis
/authors/OL4285046A,Tony Glen Babb
/authors/OL4284298A,Eleni Avlonitou
/authors/OL2034641A,Vermon S. Barney
/authors/OL4358803A,Raoul Gelabert
/authors/OL4285426A,James W. Yates
/authors/OL4285432A,Thomas P. LaFontaine
/authors/OL4285486A,Nanette Mutrie
/authors/OL4285105A,Diane Marie McHenry
/authors/OL4285148A,Kenneth R. Fox
/authors/OL5406160A,Sue Benton
/authors/OL2629147A,Sue Benton
/authors/OL2629148A,Drew Denbaum
/authors/OL1240979A,Randolph Stone
/authors/OL407844A,Paul Dong
/authors/OL1003827A,Aristide H. Esser
/authors/OL399655A,Sheldon Zerden
/authors/OL2628673A,Bob Greene
/authors/OL405207A,Dennis Zacharkow
/authors/OL9515687A,Henry C. Lukaski
/authors/OL537806A,Brian J. Sharkey
/authors/OL457695A,George Burns
/authors/OL528248A,"Friedman, Philip"
/authors/OL2660015A,Philip Friedman
/authors/OL2660016A,Gail Eisen
/authors/OL496691A,Neil Cameron
/authors/OL23624A,Alyssa Satin Capucilli
